YEAR,VEHICLE_TYPE,BRAND,VEHICLE_COUNT,AGE_GROUP,AGE,RTO_REGISTRATION_YEAR
2000,TRUCK,SCANIA,3208, 0-1,0,2000
2000,TRUCK,MAN,7486, 0-1,0,2000
2000,TRUCK,Tata,8021, 0-1,0,2000
2000,TRUCK,Ashok Leyland,2673, 0-1,0,2000
2000,TRUCK,VOLVO,1069, 0-1,0,2000
2000,TRUCK,MAZ,4277, 0-1,0,2000
2000,TRUCK,Asia MotorWorks (AMW),5882, 0-1,0,2000
2000,TRUCK,PACCAR,2673, 0-1,0,2000
2000,TRUCK,Force Motors,534, 0-1,0,2000
2000,TRUCK,BharatBenz,4812, 0-1,0,2000
2000,TRUCK,Hindustan Motors,3208, 0-1,0,2000
2000,TRUCK,Mercedes-Benz,5882, 0-1,0,2000
2000,FOUR WHEELER,Ford ,7640, 0-1,0,2000
2000,FOUR WHEELER,Tata,5093, 0-1,0,2000
2000,FOUR WHEELER,Maruti Suzuki,15280, 0-1,0,2000
2000,FOUR WHEELER,Hyundai,6366, 0-1,0,2000
2000,FOUR WHEELER,General Motors,11460, 0-1,0,2000
2000,FOUR WHEELER,Mahindra,14007, 0-1,0,2000
2000,FOUR WHEELER,"Hero MotoCorp
",1273, 0-1,0,2000
2000,FOUR WHEELER,VOLVO,8913, 0-1,0,2000
2000,FOUR WHEELER,Force Motors,31834, 0-1,0,2000
2000,FOUR WHEELER,ISUZU,25467, 0-1,0,2000
2000,BUSE,Tata,1055, 0-1,0,2000
2000,BUSE,Ashok Leyland,2463, 0-1,0,2000
2000,BUSE,SCANIA,2639, 0-1,0,2000
2000,BUSE,VOLVO,879, 0-1,0,2000
2000,BUSE,Asia MotorWorks (AMW),351, 0-1,0,2000
2000,BUSE,BharatBenz,1407, 0-1,0,2000
2000,BUSE,Mercedes-Benz,1935, 0-1,0,2000
2000,BUSE,EICHER MOTOR,879, 0-1,0,2000
2000,BUSE,JCBL,175, 0-1,0,2000
2000,BUSE,FOTON,1583, 0-1,0,2000
2000,BUSE,ISUZU,1055, 0-1,0,2000
2000,BUSE,BYD,1935, 0-1,0,2000
2000,TWO WHEELER,Hero Honda,184071, 0-1,0,2000
2000,TWO WHEELER,Yamaha,170436, 0-1,0,2000
2000,TWO WHEELER,Bajaj,143166, 0-1,0,2000
2000,TWO WHEELER,Suzuki,156801, 0-1,0,2000
2000,TWO WHEELER,Royal Enfield,47722, 0-1,0,2000
2000,TWO WHEELER,TVS,115896, 0-1,0,2000
2000,OTHERS,JCB,7486, 0-1,0,2000
2000,OTHERS,L&T,7486, 0-1,0,2000
2000,OTHERS,John Deere,8021, 0-1,0,2000
2000,OTHERS,SONALIKA,2673, 0-1,0,2000
2000,OTHERS,ESCORTS,1069, 0-1,0,2000
2000,OTHERS,HITACHI,4277, 0-1,0,2000
2000,OTHERS,KOMASTU,5882, 0-1,0,2000
2000,OTHERS,XCBG,2673, 0-1,0,2000
2000,OTHERS,CATERPILLAR,534, 0-1,0,2000
2000,OTHERS,VOLVO,4812, 0-1,0,2000
2000,TRUCK,SCANIA,7190, 1-2,1,1999
2000,TRUCK,MAN,2765, 1-2,1,1999
2000,TRUCK,Tata,4978, 1-2,1,1999
2000,TRUCK,Ashok Leyland,2765, 1-2,1,1999
2000,TRUCK,VOLVO,8296, 1-2,1,1999
2000,TRUCK,MAZ,4978, 1-2,1,1999
2000,TRUCK,Asia MotorWorks (AMW),1106, 1-2,1,1999
2000,TRUCK,PACCAR,8296, 1-2,1,1999
2000,TRUCK,Force Motors,5531, 1-2,1,1999
2000,TRUCK,BharatBenz,7743, 1-2,1,1999
2000,TRUCK,Hindustan Motors,8296, 1-2,1,1999
2000,TRUCK,Mercedes-Benz,4978, 1-2,1,1999
2000,FOUR WHEELER,Ford ,21637, 1-2,1,1999
2000,FOUR WHEELER,Tata,6364, 1-2,1,1999
2000,FOUR WHEELER,Maruti Suzuki,7636, 1-2,1,1999
2000,FOUR WHEELER,Hyundai,5091, 1-2,1,1999
2000,FOUR WHEELER,General Motors,2545, 1-2,1,1999
2000,FOUR WHEELER,Mahindra,10182, 1-2,1,1999
2000,FOUR WHEELER,"Hero MotoCorp
",16546, 1-2,1,1999
2000,FOUR WHEELER,VOLVO,15273, 1-2,1,1999
2000,FOUR WHEELER,Force Motors,30547, 1-2,1,1999
2000,FOUR WHEELER,ISUZU,11455, 1-2,1,1999
2000,BUSE,Tata,2507, 1-2,1,1999
2000,BUSE,Ashok Leyland,964, 1-2,1,1999
2000,BUSE,SCANIA,1736, 1-2,1,1999
2000,BUSE,VOLVO,964, 1-2,1,1999
2000,BUSE,Asia MotorWorks (AMW),2893, 1-2,1,1999
2000,BUSE,BharatBenz,1736, 1-2,1,1999
2000,BUSE,Mercedes-Benz,385, 1-2,1,1999
2000,BUSE,EICHER MOTOR,2893, 1-2,1,1999
2000,BUSE,JCBL,1928, 1-2,1,1999
2000,BUSE,FOTON,2700, 1-2,1,1999
2000,BUSE,ISUZU,2893, 1-2,1,1999
2000,BUSE,BYD,1736, 1-2,1,1999
2000,TWO WHEELER,Hero Honda,140090, 1-2,1,1999
2000,TWO WHEELER,Yamaha,93393, 1-2,1,1999
2000,TWO WHEELER,Bajaj,186787, 1-2,1,1999
2000,TWO WHEELER,Suzuki,146761, 1-2,1,1999
2000,TWO WHEELER,Royal Enfield,53367, 1-2,1,1999
2000,TWO WHEELER,TVS,106735, 1-2,1,1999
2000,OTHERS,JCB,9403, 1-2,1,1999
2000,OTHERS,L&T,2765, 1-2,1,1999
2000,OTHERS,John Deere,4978, 1-2,1,1999
2000,OTHERS,SONALIKA,2765, 1-2,1,1999
2000,OTHERS,ESCORTS,8296, 1-2,1,1999
2000,OTHERS,HITACHI,4978, 1-2,1,1999
2000,OTHERS,KOMASTU,1106, 1-2,1,1999
2000,OTHERS,XCBG,8296, 1-2,1,1999
2000,OTHERS,CATERPILLAR,5531, 1-2,1,1999
2000,OTHERS,VOLVO,7743, 1-2,1,1999
2000,TRUCK,SCANIA,6813, 2-3,2,1998
2000,TRUCK,MAN,7861, 2-3,2,1998
2000,TRUCK,Tata,5765, 2-3,2,1998
2000,TRUCK,Ashok Leyland,2620, 2-3,2,1998
2000,TRUCK,VOLVO,5765, 2-3,2,1998
2000,TRUCK,MAZ,4717, 2-3,2,1998
2000,TRUCK,Asia MotorWorks (AMW),6813, 2-3,2,1998
2000,TRUCK,PACCAR,2096, 2-3,2,1998
2000,TRUCK,Force Motors,3144, 2-3,2,1998
2000,TRUCK,BharatBenz,3668, 2-3,2,1998
2000,TRUCK,Hindustan Motors,4717, 2-3,2,1998
2000,TRUCK,Mercedes-Benz,1048, 2-3,2,1998
2000,FOUR WHEELER,Ford ,17079, 2-3,2,1998
2000,FOUR WHEELER,Tata,2439, 2-3,2,1998
2000,FOUR WHEELER,Maruti Suzuki,14639, 2-3,2,1998
2000,FOUR WHEELER,Hyundai,10979, 2-3,2,1998
2000,FOUR WHEELER,General Motors,14639, 2-3,2,1998
2000,FOUR WHEELER,Mahindra,19519, 2-3,2,1998
2000,FOUR WHEELER,"Hero MotoCorp
",2439, 2-3,2,1998
2000,FOUR WHEELER,VOLVO,15859, 2-3,2,1998
2000,FOUR WHEELER,Force Motors,18299, 2-3,2,1998
2000,FOUR WHEELER,ISUZU,20739, 2-3,2,1998
2000,BUSE,Tata,2291, 2-3,2,1998
2000,BUSE,Ashok Leyland,2643, 2-3,2,1998
2000,BUSE,SCANIA,1938, 2-3,2,1998
2000,BUSE,VOLVO,881, 2-3,2,1998
2000,BUSE,Asia MotorWorks (AMW),1938, 2-3,2,1998
2000,BUSE,BharatBenz,1586, 2-3,2,1998
2000,BUSE,Mercedes-Benz,2291, 2-3,2,1998
2000,BUSE,EICHER MOTOR,704, 2-3,2,1998
2000,BUSE,JCBL,1057, 2-3,2,1998
2000,BUSE,FOTON,1233, 2-3,2,1998
2000,BUSE,ISUZU,1586, 2-3,2,1998
2000,BUSE,BYD,352, 2-3,2,1998
2000,TWO WHEELER,Hero Honda,190088, 2-3,2,1998
2000,TWO WHEELER,Yamaha,171079, 2-3,2,1998
2000,TWO WHEELER,Bajaj,82371, 2-3,2,1998
2000,TWO WHEELER,Suzuki,133062, 2-3,2,1998
2000,TWO WHEELER,Royal Enfield,50690, 2-3,2,1998
2000,TWO WHEELER,TVS,88708, 2-3,2,1998
2000,OTHERS,JCB,11530, 2-3,2,1998
2000,OTHERS,L&T,7861, 2-3,2,1998
